epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,4305.23,0.81509,0.61877,1.07432,0.86338,0.77988,0.85148,0.68364,0.87112,0.66528,1.16229,0.0054955,0.0054955,0.0054955
93,4353.08,0.80115,0.61186,1.06387,0.878,0.76675,0.84756,0.67924,0.87345,0.67712,1.16485,0.005446,0.005446,0.005446
94,4398.5,0.80116,0.60577,1.06827,0.87034,0.77345,0.84602,0.67941,0.86576,0.66819,1.16058,0.0053965,0.0053965,0.0053965
95,4447,0.79979,0.60853,1.06376,0.85767,0.77614,0.84664,0.67894,0.86738,0.67323,1.16512,0.005347,0.005347,0.005347
96,4492.05,0.77764,0.5891,1.05577,0.88811,0.76369,0.85033,0.68228,0.86258,0.6707,1.1616,0.0052975,0.0052975,0.0052975
97,4541.08,0.79161,0.59672,1.0633,0.87642,0.76857,0.8502,0.68324,0.86476,0.66456,1.15816,0.005248,0.005248,0.005248
98,4596.67,0.78107,0.59234,1.05255,0.88395,0.77033,0.85055,0.6831,0.86493,0.66083,1.15741,0.0051985,0.0051985,0.0051985
99,4641.79,0.77708,0.5906,1.05441,0.87749,0.7684,0.84542,0.67983,0.85342,0.65632,1.15165,0.005149,0.005149,0.005149
100,4695.21,0.79014,0.59864,1.05738,0.88699,0.76317,0.84708,0.68438,0.855,0.65587,1.15623,0.0050995,0.0050995,0.0050995
101,4755.95,0.77575,0.5845,1.05248,0.88625,0.76969,0.85121,0.68567,0.85258,0.64909,1.15159,0.00505,0.00505,0.00505
102,4819.99,0.77766,0.58553,1.05313,0.87883,0.77894,0.85376,0.6876,0.85614,0.64904,1.15479,0.0050005,0.0050005,0.0050005
103,4903.59,0.7722,0.5772,1.04946,0.88113,0.77937,0.85493,0.68843,0.85561,0.6475,1.1595,0.004951,0.004951,0.004951
104,4968.15,0.76942,0.57241,1.04922,0.87901,0.78301,0.85291,0.68707,0.85821,0.64531,1.16484,0.0049015,0.0049015,0.0049015
105,5040.15,0.75864,0.56589,1.0435,0.86806,0.7869,0.85331,0.68612,0.85664,0.63983,1.16595,0.004852,0.004852,0.004852
106,5109.48,0.76509,0.56144,1.03905,0.88809,0.76924,0.85219,0.68528,0.86015,0.64491,1.16263,0.0048025,0.0048025,0.0048025
107,5180.4,0.75172,0.56281,1.04172,0.88607,0.77957,0.85293,0.68781,0.86547,0.63681,1.16951,0.004753,0.004753,0.004753
108,5248.73,0.75813,0.56564,1.04502,0.87298,0.78413,0.85291,0.68768,0.86166,0.6415,1.16743,0.0047035,0.0047035,0.0047035
109,5357.67,0.75698,0.56687,1.04699,0.89409,0.76868,0.85108,0.6877,0.8594,0.64073,1.16707,0.004654,0.004654,0.004654
110,5436.5,0.74357,0.55349,1.03372,0.89592,0.77499,0.85229,0.69145,0.85447,0.6351,1.16528,0.0046045,0.0046045,0.0046045
111,5515.13,0.74065,0.54265,1.02812,0.91279,0.7627,0.85363,0.69185,0.85661,0.63397,1.16644,0.004555,0.004555,0.004555
112,5590.95,0.73962,0.54883,1.02853,0.8878,0.7812,0.85245,0.69202,0.85732,0.63766,1.16329,0.0045055,0.0045055,0.0045055
113,5665.9,0.73574,0.53858,1.02272,0.89234,0.77334,0.85265,0.69429,0.8534,0.6385,1.15881,0.004456,0.004456,0.004456
114,5738.93,0.74508,0.54729,1.0307,0.89204,0.76979,0.85205,0.69379,0.85451,0.64201,1.16046,0.0044065,0.0044065,0.0044065
115,5812.65,0.75584,0.55823,1.03703,0.88592,0.77933,0.85283,0.6926,0.85504,0.64412,1.16494,0.004357,0.004357,0.004357
116,5885.93,0.73328,0.53004,1.02309,0.89961,0.77191,0.85268,0.6935,0.85065,0.64128,1.16186,0.0043075,0.0043075,0.0043075
117,5958.8,0.73186,0.53973,1.02957,0.89298,0.77687,0.85158,0.69365,0.85108,0.64094,1.16483,0.004258,0.004258,0.004258
118,6029.92,0.72268,0.52814,1.02145,0.90391,0.77398,0.85385,0.69427,0.84904,0.63776,1.16263,0.0042085,0.0042085,0.0042085
119,6099.11,0.72857,0.52927,1.02189,0.90033,0.77916,0.85377,0.69418,0.84773,0.6407,1.1617,0.004159,0.004159,0.004159
120,6173.36,0.73273,0.52828,1.02412,0.90026,0.78074,0.85589,0.6969,0.83966,0.63488,1.15528,0.0041095,0.0041095,0.0041095
121,6248.25,0.72782,0.52703,1.02094,0.92,0.76834,0.85711,0.69795,0.83845,0.63373,1.15331,0.00406,0.00406,0.00406
122,6324.5,0.71541,0.51717,1.01722,0.91137,0.7716,0.85671,0.69743,0.84263,0.63934,1.15879,0.0040105,0.0040105,0.0040105
123,6396.81,0.7188,0.52661,1.02034,0.90403,0.78121,0.85445,0.69814,0.84238,0.64079,1.15838,0.003961,0.003961,0.003961
124,6470.24,0.71447,0.51408,1.01488,0.8964,0.78574,0.85461,0.69834,0.8366,0.63998,1.15644,0.0039115,0.0039115,0.0039115
125,6546.27,0.71579,0.51776,1.01554,0.91091,0.76854,0.854,0.69907,0.83693,0.64289,1.15945,0.003862,0.003862,0.003862
126,6620.15,0.70521,0.50208,1.00848,0.90479,0.77636,0.85451,0.70078,0.83331,0.64443,1.15589,0.0038125,0.0038125,0.0038125
127,6694.89,0.70217,0.50684,1.01129,0.89613,0.78357,0.85335,0.70032,0.83085,0.64206,1.15451,0.003763,0.003763,0.003763
128,6767.78,0.69848,0.5028,1.0081,0.89629,0.78473,0.85339,0.70163,0.82695,0.63847,1.15192,0.0037135,0.0037135,0.0037135
129,6838.79,0.70881,0.50519,1.00891,0.90251,0.78499,0.85566,0.70395,0.82372,0.63351,1.14895,0.003664,0.003664,0.003664
130,6913.35,0.69905,0.49965,1.00353,0.89739,0.78722,0.85575,0.70438,0.82645,0.63192,1.15217,0.0036145,0.0036145,0.0036145
131,6984.27,0.68831,0.49027,1.00029,0.90961,0.78151,0.85786,0.7045,0.82436,0.62809,1.1504,0.003565,0.003565,0.003565
132,7047.8,0.698,0.49356,1.00317,0.90266,0.78483,0.85776,0.70587,0.82185,0.62274,1.14857,0.0035155,0.0035155,0.0035155
133,7096.07,0.68655,0.48737,0.99791,0.89913,0.78492,0.85692,0.70578,0.8207,0.62252,1.14637,0.003466,0.003466,0.003466
134,7143.73,0.69212,0.48442,0.99835,0.89514,0.79076,0.85845,0.70474,0.82033,0.62085,1.14545,0.0034165,0.0034165,0.0034165
135,7191.38,0.69194,0.48829,1.00418,0.90088,0.7816,0.85738,0.70572,0.81948,0.62673,1.14595,0.003367,0.003367,0.003367
136,7238.92,0.68478,0.48871,0.99464,0.8959,0.78794,0.85677,0.70526,0.81902,0.62574,1.14482,0.0033175,0.0033175,0.0033175
137,7286.55,0.67847,0.47606,0.99098,0.89427,0.79182,0.85664,0.70631,0.81888,0.62599,1.14475,0.003268,0.003268,0.003268
138,7334.59,0.67579,0.47893,0.99178,0.89728,0.7856,0.85601,0.70778,0.81607,0.6225,1.14372,0.0032185,0.0032185,0.0032185
139,7382.57,0.6726,0.47347,0.98858,0.89906,0.78584,0.85517,0.70746,0.81694,0.62402,1.14627,0.003169,0.003169,0.003169
140,7430.13,0.67539,0.48758,0.99664,0.90005,0.78649,0.85579,0.70767,0.81808,0.6216,1.1469,0.0031195,0.0031195,0.0031195
141,7477.79,0.67309,0.4786,0.99281,0.9021,0.78314,0.85604,0.70784,0.81779,0.6191,1.14688,0.00307,0.00307,0.00307
142,7525.74,0.66773,0.46812,0.98584,0.8983,0.78359,0.85579,0.70873,0.81731,0.61763,1.14707,0.0030205,0.0030205,0.0030205
143,7574.48,0.66296,0.4662,0.98467,0.90031,0.78218,0.85429,0.70902,0.81345,0.61598,1.14453,0.002971,0.002971,0.002971
144,7623.01,0.66417,0.4662,0.98119,0.89753,0.7854,0.85431,0.71009,0.81302,0.61764,1.14416,0.0029215,0.0029215,0.0029215
145,7671.72,0.66412,0.45862,0.98107,0.90085,0.78305,0.85395,0.71004,0.81322,0.61745,1.14553,0.002872,0.002872,0.002872
146,7720.21,0.65826,0.45946,0.983,0.89929,0.78223,0.85329,0.71051,0.8133,0.62013,1.1452,0.0028225,0.0028225,0.0028225
147,7769.03,0.65233,0.45366,0.97965,0.89743,0.78454,0.85393,0.71083,0.81073,0.61761,1.1437,0.002773,0.002773,0.002773
148,7817.36,0.65524,0.45396,0.98133,0.89553,0.78277,0.85287,0.71113,0.8086,0.61629,1.14295,0.0027235,0.0027235,0.0027235
149,7865.49,0.65648,0.45983,0.98174,0.89246,0.78719,0.85243,0.71152,0.80947,0.6161,1.14382,0.002674,0.002674,0.002674
150,7913.47,0.64872,0.44984,0.97633,0.89249,0.78422,0.85268,0.71081,0.809,0.61515,1.14381,0.0026245,0.0026245,0.0026245
151,7961.63,0.65219,0.45346,0.97843,0.89137,0.78605,0.85316,0.71046,0.80807,0.61436,1.14393,0.002575,0.002575,0.002575
152,8009.27,0.63725,0.44134,0.9701,0.89411,0.78829,0.8544,0.71173,0.80733,0.61307,1.14436,0.0025255,0.0025255,0.0025255
153,8057.53,0.64631,0.44805,0.97574,0.89664,0.7889,0.85401,0.71216,0.80648,0.61156,1.14444,0.002476,0.002476,0.002476
154,8105.53,0.63057,0.43645,0.97025,0.89668,0.7871,0.85423,0.71165,0.80614,0.61085,1.14516,0.0024265,0.0024265,0.0024265
155,8153.43,0.62807,0.43569,0.96605,0.89584,0.78989,0.85435,0.71202,0.80379,0.60833,1.14365,0.002377,0.002377,0.002377
156,8201.35,0.63548,0.43614,0.96818,0.89272,0.78974,0.85378,0.71153,0.80301,0.60745,1.14378,0.0023275,0.0023275,0.0023275
157,8249.36,0.62613,0.43352,0.96563,0.89264,0.78897,0.85361,0.71196,0.80301,0.60766,1.14445,0.002278,0.002278,0.002278
158,8297.96,0.62908,0.43641,0.96589,0.88827,0.79042,0.85306,0.71236,0.80448,0.61037,1.1461,0.0022285,0.0022285,0.0022285
159,8346.61,0.62827,0.42844,0.96454,0.89155,0.78685,0.85352,0.71283,0.80402,0.61174,1.14581,0.002179,0.002179,0.002179
160,8395.57,0.62385,0.43215,0.96203,0.89418,0.78497,0.85339,0.71353,0.8031,0.61264,1.14585,0.0021295,0.0021295,0.0021295
